Category,NodeName,Timestamp,URI,Description,Notes
humpback,rpi_andrews_bay,2025_12_12_01_14_53_PST,https://live.orcasound.net/bouts/new/andrews-bay?time=2025-12-12T09%3A14%3A55.000Z,Humpback!,tp_human_only
humpback,rpi_north_sjc,2024_09_23_10_50_49_PST,https://live.orcasound.net/bouts/new/north-sjc?time=2024-09-23T17%3A50%3A51.000Z,Humpback whale,tp_human_only
humpback,rpi_orcasound_lab,2025_11_09_03_35_13_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2025-11-09T11%3A35%3A15.576Z,"Good humpback calls, quiet ambient",tp_machine_only
humpback,rpi_port_townsend,2025_12_16_19_29_19_PST,https://live.orcasound.net/bouts/new/port-townsend?time=2025-12-17T03%3A29%3A21.000Z,Humpback sound,tp_human_only
humpback,rpi_sunset_bay,2024_11_25_21_06_05_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-11-26T05%3A06%3A07.627Z,Interesting sound at 4 seconds (possible humpback?) but otherwise there's mostly a mid-frequency hiss. Not sure what caused the false positives!,tp_machine_only
humpback,rpi_orcasound_lab,2025_11_27_06_03_56_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2025-11-27T14%3A03%3A58.457Z,Humpback song,tp_machine_only
humpback,rpi_north_sjc,2024_11_13_16_53_20_PST,https://live.orcasound.net/bouts/new/north-sjc?time=2024-11-14T00%3A53%3A22.000Z,(SV: sounds like a humpback to me!),tp_human_only
humpback,rpi_sunset_bay,2024_12_23_16_54_38_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-12-24T00%3A54%3A40.000Z,Could it be the nearby humpback or a minke in addition to the srkws?,tp_human_only
humpback,rpi_port_townsend,2025_11_04_07_14_47_PST,https://live.orcasound.net/bouts/new/port-townsend?time=2025-11-04T15%3A14%3A49.000Z,Sounds like faint humpback noises 7:15 AM,tp_human_only
humpback,rpi_andrews_bay,2025_12_12_01_59_12_PST,https://live.orcasound.net/bouts/new/andrews-bay?time=2025-12-12T09%3A59%3A14.000Z,Humpback song,tp_human_only
humpback,rpi_orcasound_lab,2025_12_04_01_40_32_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2025-12-04T09%3A40%3A34.542Z,Humpback songlike calls,tp_machine_only
humpback,rpi_sunset_bay,2025_11_10_13_55_20_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2025-11-10T21%3A55%3A22.000Z,humpback sound,tp_human_only
humpback,rpi_andrews_bay,2025_12_12_02_06_24_PST,https://live.orcasound.net/bouts/new/andrews-bay?time=2025-12-12T10%3A06%3A26.000Z,Humpback?,tp_human_only
humpback,rpi_orcasound_lab,2025_12_04_01_41_04_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2025-12-04T09%3A41%3A06.000Z,Humpback calls,tp_machine_only
humpback,rpi_sunset_bay,2025_11_10_13_58_28_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2025-11-10T21%3A58%3A30.000Z,humpback whale sound,tp_human_only
humpback,rpi_andrews_bay,2025_12_12_02_16_53_PST,https://live.orcasound.net/bouts/new/andrews-bay?time=2025-12-12T10%3A16%3A55.000Z,Humpback singing continues,tp_human_only
humpback,rpi_orcasound_lab,2025_12_04_01_42_54_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2025-12-04T09%3A42%3A56.915Z,Humpback calls,tp_machine_only
humpback,rpi_sunset_bay,2024_11_09_13_58_26_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-11-09T21%3A58%3A28.000Z,"Not sure if orca or humpback, very faint call",tp_human_only
humpback,rpi_andrews_bay,2025_12_13_18_32_58_PST,https://live.orcasound.net/bouts/new/andrews-bay?time=2025-12-14T02%3A33%3A00.000Z,Humpback,tp_human_only
humpback,rpi_orcasound_lab,2025_12_04_01_43_28_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2025-12-04T09%3A43%3A30.000Z,Humpback songlike vocalizations,tp_machine_only
humpback,rpi_andrews_bay,2025_12_17_22_12_56_PST,https://live.orcasound.net/bouts/new/andrews-bay?time=2025-12-18T06%3A12%3A58.000Z,Clear humpback calls,tp_human_only
humpback,rpi_orcasound_lab,2025_12_15_00_10_00_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2025-12-15T08%3A10%3A02.694Z,Humpback song,tp_machine_only
humpback,rpi_andrews_bay,2025_12_17_22_19_08_PST,https://live.orcasound.net/bouts/new/andrews-bay?time=2025-12-18T06%3A19%3A10.000Z,Clear humpback calls continuing,tp_human_only
humpback,rpi_orcasound_lab,2025_12_17_22_11_23_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2025-12-18T06%3A11%3A25.559Z,Humpback whale,tp_machine_only
humpback,rpi_andrews_bay,2025_12_17_22_40_47_PST,https://live.orcasound.net/bouts/new/andrews-bay?time=2025-12-18T06%3A40%3A49.000Z,Humpback song continues in quiet seas,tp_human_only
humpback,rpi_orcasound_lab,2025_12_17_22_12_01_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2025-12-18T06%3A12%3A03.000Z,Humpback whale,tp_machine_only
humpback,rpi_andrews_bay,2025_11_24_20_13_41_PST,https://live.orcasound.net/bouts/new/andrews-bay?time=2025-11-25T04%3A13%3A43.000Z,Distant humpback calls at 20:14.,tp_human_only
humpback,rpi_orcasound_lab,2025_12_17_22_16_24_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2025-12-18T06%3A16%3A26.000Z,Humpback whale,tp_machine_only
humpback,rpi_orcasound_lab,2025_12_17_22_21_08_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2025-12-18T06%3A21%3A10.305Z,Loud humpback song,tp_machine_only
humpback,rpi_orcasound_lab,2025_12_17_22_23_59_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2025-12-18T06%3A24%3A01.152Z,Humpback song,tp_machine_only
other,rpi_bush_point,2024_06_28_18_57_01_PST,https://live.orcasound.net/bouts/new/bush-point?time=2024-06-29T01%3A57%3A03.000Z,Water slosh,fp_machine_only
other,rpi_mast_center,2024_12_18_07_05_56_PST,https://live.orcasound.net/bouts/new/mast-center?time=2024-12-18T15%3A05%3A58.000Z,Surprisingly high confidence and number of detections for what sounds like pretty white noise (static).,fp_machine_only
other,rpi_north_sjc,2024_09_19_17_24_44_PST,https://live.orcasound.net/bouts/new/north-sjc?time=2024-09-20T00%3A24%3A46.440Z,Boat nose,fp_machine_only
other,rpi_orcasound_lab,2024_11_19_22_36_27_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2024-11-20T06%3A36%3A29.000Z,No ocean signal. Electrical noise comes and goes. Hydrophone may have been damaged during tonight's wind storm...,fp_machine_only
other,rpi_port_townsend,2024_07_21_03_17_26_PST,https://live.orcasound.net/bouts/new/port-townsend?time=2024-07-21T10%3A17%3A28.254Z,Bell buoy and squeaky ship,fp_machine_only
other,rpi_sunset_bay,2024_06_29_18_49_16_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-06-30T01%3A49%3A18.000Z,Human voices audible over ship noise. Not sure if they are from humans on beach or from radio interference...,fp_machine_only
other,rpi_bush_point,2024_07_02_12_00_02_PST,https://live.orcasound.net/bouts/new/bush-point?time=2024-07-02T19%3A00%3A04.593Z,Squeaky ship,fp_machine_only
other,rpi_sunset_bay,2024_07_04_11_05_57_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-07-04T18%3A05%3A59.000Z,False positives caused by human voices on 4th of July with element out of water.,fp_machine_only
other,rpi_port_townsend,2024_08_06_19_48_53_PST,https://live.orcasound.net/bouts/new/port-townsend?time=2024-08-07T02%3A48%3A55.000Z,Ship noise with high pitched whine,fp_machine_only
other,rpi_north_sjc,2024_09_28_07_33_21_PST,https://live.orcasound.net/bouts/new/north-sjc?time=2024-09-28T14%3A33%3A23.000Z,"Jingling bell or key sounds with power peaks near 5.0, 5.6, and 9.5kHz. The source is unkown, currently.",fp_machine_only
other,rpi_orcasound_lab,2024_11_19_22_49_14_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2024-11-20T06%3A49%3A16.406Z,No ocean signal. Hydrophone may have been damaged during tonight's wind storm...,fp_machine_only
other,rpi_mast_center,2024_12_18_07_15_00_PST,https://live.orcasound.net/bouts/new/mast-center?time=2024-12-18T15%3A15%3A02.576Z,"Mostly static, but with some dropouts. Perhaps the Pi is failing or corrosion increasing somewhere?",fp_machine_only
other,rpi_bush_point,2024_07_04_13_30_52_PST,https://live.orcasound.net/bouts/new/bush-point?time=2024-07-04T20%3A30%3A54.000Z,Water sounds and swishing caused false positives. Later in clip there is tonal boat noise.,fp_machine_only
other,rpi_sunset_bay,2024_07_04_11_41_42_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-07-04T18%3A41%3A44.000Z,Periodic water and wave impact sounds with human voices on 4th of July in between. Sounds like element was mostly out of the water.,fp_machine_only
other,rpi_port_townsend,2024_12_14_08_31_54_PST,https://live.orcasound.net/bouts/new/port-townsend?time=2024-12-14T16%3A31%3A56.067Z,Unusual high-frequency tonal noise pattern (likely from a passing boat). In this clip it is nearly continuous with some dramatic modulations. This was a high-wind day in Puget Sound... and some sections have lower-frequency tones and modulations that sound a bit like wind whistling -- maybe when gusts blow through under the pier above the hydrophone?,fp_machine_only
other,rpi_north_sjc,2024_09_30_09_56_51_PST,https://live.orcasound.net/bouts/new/north-sjc?time=2024-09-30T16%3A56%3A53.000Z,"Unusual harmonic signal with many harmonics all inaudible to me.  Not biophony, for sure.",fp_machine_only
other,rpi_orcasound_lab,2024_11_19_23_01_51_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2024-11-20T07%3A01%3A53.355Z,"Variable amplitude in 60Hz hum, plus some crackling.",fp_machine_only
other,rpi_mast_center,2024_12_18_07_21_53_PST,https://live.orcasound.net/bouts/new/mast-center?time=2024-12-18T15%3A21%3A55.796Z,"More dropouts, increasing. Maybe damage from heavy rains last night? I'll stop stream.",fp_machine_only
other,rpi_bush_point,2024_07_04_13_56_42_PST,https://live.orcasound.net/bouts/new/bush-point?time=2024-07-04T20%3A56%3A44.000Z,Watery sounds.,fp_machine_only
other,rpi_sunset_bay,2024_07_12_16_58_09_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-07-12T23%3A58%3A11.864Z,Human voices,fp_machine_only
other,rpi_port_townsend,2024_12_14_09_21_15_PST,https://live.orcasound.net/bouts/new/port-townsend?time=2024-12-14T17%3A21%3A17.000Z,"Unusual high-frequency tonal noise pattern from passing boat, plus a couple jingles. This was a high-wind day in Puget Sound...",fp_machine_only
other,rpi_north_sjc,2024_09_30_10_40_20_PST,https://live.orcasound.net/bouts/new/north-sjc?time=2024-09-30T17%3A40%3A22.050Z,,fp_machine_only
other,rpi_orcasound_lab,2025_01_05_07_25_37_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2025-01-05T15%3A25%3A39.000Z,Short mid-frequency squeaks in tonal prop noise seem to be cause of these false positives.,fp_machine_only
other,rpi_mast_center,2024_12_18_08_50_31_PST,https://live.orcasound.net/bouts/new/mast-center?time=2024-12-18T16%3A50%3A33.932Z,Intermittent static,fp_machine_only
other,rpi_bush_point,2024_07_13_16_00_59_PST,https://live.orcasound.net/bouts/new/bush-point?time=2024-07-13T23%3A01%3A01.000Z,Tonal boat noise with some swishing and lots of contact noise.,fp_machine_only
other,rpi_sunset_bay,2024_07_19_12_51_07_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-07-19T19%3A51%3A09.000Z,Human voices causing false positives despite significant noise from something contacting ladder and/or hydrophone.,fp_machine_only
other,rpi_port_townsend,2025_04_08_10_28_01_PST,https://live.orcasound.net/bouts/new/port-townsend?time=2025-04-08T17%3A28%3A03.474Z,"Unusually complex high-frequency tones in what sounds like boat noise, including slow frequency modulation and starts/stops...",fp_machine_only
other,rpi_north_sjc,2024_10_19_02_03_31_PST,https://live.orcasound.net/bouts/new/north-sjc?time=2024-10-19T09%3A03%3A33.000Z,"More jingles, and a few clank-like short ones that have harmonics or overtones to much higher frequencies.",fp_machine_only
other,rpi_orcasound_lab,2025_01_05_21_26_30_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2025-01-06T05%3A26%3A32.016Z,Clear jingles repeated in series with periodic spacing of about a second.,fp_machine_only
other,rpi_mast_center,2024_12_18_08_58_47_PST,https://live.orcasound.net/bouts/new/mast-center?time=2024-12-18T16%3A58%3A49.525Z,Intermittent static,fp_machine_only
resident,rpi_andrews_bay,2025_12_16_21_55_29_PST,https://live.orcasound.net/bouts/new/andrews-bay?time=2025-12-17T05%3A55%3A31.000Z,K-Pod,tp_human_only
resident,rpi_bush_point,2024_10_23_17_13_21_PST,https://live.orcasound.net/bouts/new/bush-point?time=2024-10-24T00%3A13%3A23.220Z,"Good calls, loud ship noise",tp_machine_only
resident,rpi_mast_center,2025_12_22_10_14_53_PST,https://live.orcasound.net/bouts/new/mast-center?time=2025-12-22T18%3A14%3A55.745Z,"Good calls and clicks, moderate ship noise",tp_machine_only
resident,rpi_north_sjc,2025_04_15_17_59_53_PST,https://live.orcasound.net/bouts/new/north-sjc?time=2025-04-16T00%3A59%3A55.440Z,,tp_machine_only
resident,rpi_orcasound_lab,2024_06_27_10_45_13_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2024-06-27T17%3A45%3A15.237Z,"Good calls and clicks, high background noise",tp_machine_only
resident,rpi_port_townsend,2024_11_06_00_13_23_PST,https://live.orcasound.net/bouts/new/port-townsend?time=2024-11-06T08%3A13%3A25.237Z,"Good calls, moderate ambient noise",tp_machine_only
resident,rpi_sunset_bay,2024_10_20_18_39_50_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-10-21T01%3A39%3A52.000Z,Moderate calls and background noise,tp_machine_only
resident,rpi_orcasound_lab,2024_06_30_13_12_39_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2024-06-30T20%3A12%3A41.186Z,"Good calls and clicks, some water slosh",tp_machine_only
resident,rpi_sunset_bay,2024_10_22_14_55_02_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-10-22T21%3A55%3A04.847Z,Clear calls from J pod thru radio interference,tp_machine_only
resident,rpi_port_townsend,2025_10_31_21_42_31_PST,https://live.orcasound.net/bouts/new/port-townsend?time=2025-11-01T04%3A42%3A33.000Z,"Moderate to strong calls, high natural ambient noise",tp_machine_only
resident,rpi_mast_center,2025_12_22_10_15_43_PST,https://live.orcasound.net/bouts/new/mast-center?time=2025-12-22T18%3A15%3A45.576Z,"Good calls and clicks, loud ship noise",tp_machine_only
resident,rpi_bush_point,2024_11_02_09_52_09_PST,https://live.orcasound.net/bouts/new/bush-point?time=2024-11-02T16%3A52%3A11.355Z,Faint to moderate calls and ambient noise,tp_machine_only
resident,rpi_north_sjc,2024_11_02_21_56_22_PST,https://live.orcasound.net/bouts/new/north-sjc?time=2024-11-03T04%3A56%3A24.000Z,J-Pod!!!,tp_human_only
resident,rpi_andrews_bay,2025_12_24_17_51_11_PST,https://live.orcasound.net/bouts/new/andrews-bay?time=2025-12-25T01%3A51%3A13.000Z,"Faint calls, possible Kpod",tp_human_only
resident,rpi_orcasound_lab,2024_07_29_00_32_53_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2024-07-29T07%3A32%3A55.000Z,"Good calls, moderate water slosh",tp_machine_only
resident,rpi_sunset_bay,2024_10_23_09_36_05_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-10-23T16%3A36%3A07.033Z,J pod calls clear through a small amount of radio interference.,tp_machine_only
resident,rpi_port_townsend,2025_11_03_12_56_21_PST,https://live.orcasound.net/bouts/new/port-townsend?time=2025-11-03T20%3A56%3A23.203Z,Good calls and high natural ambient noise,tp_machine_only
resident,rpi_mast_center,2025_12_22_10_16_34_PST,https://live.orcasound.net/bouts/new/mast-center?time=2025-12-22T18%3A16%3A36.000Z,"Good calls and clicks, moderate ship noise",tp_machine_only
resident,rpi_bush_point,2023_11_28_13_43_15_PST,https://live.orcasound.net/bouts/new/bush-point?time=2023-11-28T21%3A43%3A17.000Z,J pod,tp_human_only
resident,rpi_north_sjc,2024_12_29_17_04_04_PST,https://live.orcasound.net/bouts/new/north-sjc?time=2024-12-30T01%3A04%3A06.000Z,So4 j pod call,tp_human_only
resident,rpi_orcasound_lab,2024_10_01_17_06_30_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2024-10-02T00%3A06%3A32.000Z,J pod calls during NB travel per WSSJI & ON.,tp_machine_only
resident,rpi_sunset_bay,2024_10_25_18_03_16_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-10-26T01%3A03%3A18.000Z,"Clear S03 calls with little background noise, other than a bit of radio interference.",tp_machine_only
resident,rpi_port_townsend,2025_11_03_13_08_38_PST,https://live.orcasound.net/bouts/new/port-townsend?time=2025-11-03T21%3A08%3A40.000Z,Good calls and high natural ambient noise,tp_machine_only
resident,rpi_mast_center,2025_12_22_10_25_46_PST,https://live.orcasound.net/bouts/new/mast-center?time=2025-12-22T18%3A25%3A48.627Z,"Fair calls and clicks, loud ship noise",tp_machine_only
resident,rpi_bush_point,2023_11_28_14_12_49_PST,https://live.orcasound.net/bouts/new/bush-point?time=2023-11-28T22%3A12%3A51.000Z,"J pod, getting louder now",tp_human_only
resident,rpi_north_sjc,2025_04_15_19_49_00_PST,https://live.orcasound.net/bouts/new/north-sjc?time=2025-04-16T02%3A49%3A02.000Z,J pod!!,tp_human_only
resident,rpi_orcasound_lab,2024_10_01_17_36_38_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2024-10-02T00%3A36%3A40.338Z,"Strong calls, moderate water noise",tp_machine_only
resident,rpi_sunset_bay,2024_10_25_19_04_15_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-10-26T02%3A04%3A17.000Z,"Impressive performance of the model, detecting almost all of the calls, despite intense low frequency noise from a passing train, as well as tonal train-whistles.",tp_machine_only
resident,rpi_port_townsend,2025_11_03_13_43_52_PST,https://live.orcasound.net/bouts/new/port-townsend?time=2025-11-03T21%3A43%3A54.000Z,"Good calls, some clicks, high natural ambient",tp_machine_only
resident,rpi_mast_center,2025_12_22_10_34_34_PST,https://live.orcasound.net/bouts/new/mast-center?time=2025-12-22T18%3A34%3A36.423Z,"Fair calls and clicks, loud ship noise",tp_machine_only
transient,rpi_andrews_bay,2025_11_29_06_21_55_PST,https://live.orcasound.net/bouts/new/andrews-bay?time=2025-11-29T14%3A21%3A57.000Z,6:22 am sounds like Biggs Transients,tp_human_only
transient,rpi_bush_point,2024_04_16_13_35_42_PST,https://live.orcasound.net/bouts/new/bush-point?time=2024-04-16T20%3A35%3A44.000Z,Biggs calls x3 clear,tp_human_only
transient,rpi_north_sjc,2025_03_21_12_51_58_PST,https://live.orcasound.net/bouts/new/north-sjc?time=2025-03-21T19%3A52%3A00.000Z,"A few Bigg's calls, most likely from the T124A4s that are currently being tracked in San Juan Channel by local sighting networks (including OBI and Orca Network).",tp_machine_only
transient,rpi_orcasound_lab,2024_12_29_13_37_21_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2024-12-29T21%3A37%3A23.186Z,"Good transient calls, lots of water noise",tp_machine_only
transient,rpi_port_townsend,2024_04_10_13_04_48_PST,https://live.orcasound.net/bouts/new/port-townsend?time=2024-04-10T20%3A04%3A50.000Z,"possible fain Bigg's call at 13:06 , T87 in the area.",tp_human_only
transient,rpi_sunset_bay,2024_12_19_12_39_10_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-12-19T20%3A39%3A12.000Z,Many Transient calls,tp_machine_only
transient,rpi_sunset_bay,2025_12_04_03_02_02_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2025-12-04T11%3A02%3A04.406Z,"Fair transient calls, water slosh",tp_machine_only
transient,rpi_orcasound_lab,2024_12_29_14_08_00_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2024-12-29T22%3A08%3A02.000Z,"Strong transient (Bigg's) calls, loud ship noise",tp_machine_only
transient,rpi_port_townsend,2024_04_10_13_05_27_PST,https://live.orcasound.net/bouts/new/port-townsend?time=2024-04-10T20%3A05%3A29.000Z,"Biggs call, T87 in area (SV: interesting sound, but not convinced it is a Bigg's call)",tp_human_only
transient,rpi_bush_point,2024_04_16_13_36_09_PST,https://live.orcasound.net/bouts/new/bush-point?time=2024-04-16T20%3A36%3A11.000Z,Bigg call. 65As,tp_human_only
transient,rpi_north_sjc,2025_06_04_18_41_40_PST,https://live.orcasound.net/bouts/new/north-sjc?time=2025-06-05T01%3A41%3A42.000Z,"Calls of Bigg's killer whales, in one case with two calls overlapping.",tp_machine_only
transient,rpi_andrews_bay,2026_01_02_16_13_49_PST,https://live.orcasound.net/bouts/new/andrews-bay?time=2026-01-03T00%3A13%3A51.000Z,Bigg's calls,tp_human_only
transient,rpi_sunset_bay,2025_12_04_02_48_53_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2025-12-04T10%3A48%3A55.000Z,Faint transient calls,tp_machine_only
transient,rpi_orcasound_lab,2024_12_31_15_09_29_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2024-12-31T23%3A09%3A31.508Z,Tonal vessel noise plus signals from likely Bigg's KWs or humpbacks...,tp_machine_only
transient,rpi_port_townsend,2024_04_17_16_00_27_PST,https://live.orcasound.net/bouts/new/port-townsend?time=2024-04-17T23%3A00%3A29.000Z,Bigg’s calls,tp_human_only
transient,rpi_bush_point,2024_04_16_13_59_42_PST,https://live.orcasound.net/bouts/new/bush-point?time=2024-04-16T20%3A59%3A44.000Z,"Biggs call, then seagulls",tp_human_only
transient,rpi_north_sjc,2025_06_04_19_06_01_PST,https://live.orcasound.net/bouts/new/north-sjc?time=2025-06-05T02%3A06%3A03.559Z,"More Biggs calls through some boat noise, plus some fish grunts around the 45sec mark.",tp_machine_only
transient,rpi_andrews_bay,2025_11_23_05_23_39_PST,https://live.orcasound.net/bouts/new/andrews-bay?time=2025-11-23T13%3A23%3A41.000Z,Faint Biggs again,tp_human_only
transient,rpi_sunset_bay,2025_12_04_02_55_03_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2025-12-04T10%3A55%3A05.000Z,Faint transient calls,tp_machine_only
transient,rpi_orcasound_lab,2024_12_31_15_20_56_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2024-12-31T23%3A20%3A58.000Z,"Tonal vessel noise (sounds like a plane or LF outboard), plus signals likely from Bigg's but could be a humpback or something else.",tp_machine_only
transient,rpi_port_townsend,2024_04_17_16_06_20_PST,https://live.orcasound.net/bouts/new/port-townsend?time=2024-04-17T23%3A06%3A22.000Z,Biggs calls repeated many times,tp_human_only
transient,rpi_bush_point,2024_04_16_14_00_13_PST,https://live.orcasound.net/bouts/new/bush-point?time=2024-04-16T21%3A00%3A15.000Z,Bigg’s call,tp_human_only
transient,rpi_north_sjc,2025_03_21_15_26_46_PST,https://live.orcasound.net/bouts/new/north-sjc?time=2025-03-21T22%3A26%3A48.000Z,Faintly Bigg’s KW calls,tp_machine_only
transient,rpi_andrews_bay,2025_12_20_22_58_19_PST,https://live.orcasound.net/bouts/new/andrews-bay?time=2025-12-21T06%3A58%3A21.000Z,Faint transient call,tp_human_only
transient,rpi_sunset_bay,2025_12_04_02_56_34_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2025-12-04T10%3A56%3A36.949Z,Faint transient calls,tp_machine_only
transient,rpi_orcasound_lab,2024_12_31_15_55_37_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2024-12-31T23%3A55%3A39.135Z,"A couple good transient calls, followed by increasing boat noise",tp_machine_only
transient,rpi_port_townsend,2024_04_17_16_37_29_PST,https://live.orcasound.net/bouts/new/port-townsend?time=2024-04-17T23%3A37%3A31.000Z,Bigg's calls and some vessel noise,tp_human_only
transient,rpi_bush_point,2024_04_16_14_01_55_PST,https://live.orcasound.net/bouts/new/bush-point?time=2024-04-16T21%3A01%3A57.000Z,"Bigg’s call repeated, one significantly more intense than others",tp_human_only
transient,rpi_north_sjc,2025_04_22_13_52_28_PST,https://live.orcasound.net/bouts/new/north-sjc?time=2025-04-22T20%3A52%3A30.169Z,"Sounds like faint Bigg's calls to me, but SNR is low in vessel noise...",tp_machine_only
transient,rpi_andrews_bay,2026_01_02_17_09_37_PST,https://live.orcasound.net/bouts/new/andrews-bay?time=2026-01-03T01%3A09%3A39.000Z,Fainter Bigg's calls but still audible,tp_human_only
