Category,NodeName,Timestamp,URI,Description,Notes,Confidence
human,rpi_sunset_bay,2024_07_12_16_58_11_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-07-12T23%3A58%3A11.864Z,Human voices,fp_machine_only,66.6844
human,rpi_sunset_bay,2024_07_22_10_31_35_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-07-22T17%3A31%3A35.000Z,Radio,fp_machine_only,54.1478
human,rpi_sunset_bay,2024_07_22_10_43_05_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-07-22T17%3A43%3A05.000Z,Humans,fp_machine_only,59.2257
human,rpi_sunset_bay,2024_07_22_11_51_09_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-07-22T18%3A51%3A09.661Z,Radio,fp_machine_only,60.7063
human,rpi_sunset_bay,2024_07_22_15_06_08_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-07-22T22%3A06%3A08.000Z,Radio,fp_machine_only,60.3830
human,rpi_sunset_bay,2024_07_23_18_06_40_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-07-24T01%3A06%3A40.000Z,AM radio interference,fp_machine_only,61.5647
human,rpi_sunset_bay,2024_07_29_08_51_38_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-07-29T15%3A51%3A38.474Z,AM radio,fp_machine_only,58.2088
human,rpi_sunset_bay,2024_08_02_09_58_14_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-08-02T16%3A58%3A14.915Z,Humans and radio,fp_machine_only,61.9597
human,rpi_sunset_bay,2024_08_02_10_37_49_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-08-02T17%3A37%3A49.000Z,Humans and radio,fp_machine_only,63.4454
human,rpi_sunset_bay,2024_08_02_10_47_13_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-08-02T17%3A47%3A13.000Z,Humans,fp_machine_only,58.4718
human,rpi_sunset_bay,2024_08_02_13_01_57_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-08-02T20%3A01%3A57.000Z,Radio,fp_machine_only,59.4667
human,rpi_sunset_bay,2024_08_03_13_45_32_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-08-03T20%3A45%3A32.033Z,human voice on radio,fp_machine_only,60.9614
human,rpi_sunset_bay,2024_08_04_15_45_31_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-08-04T22%3A45%3A31.694Z,human voice on radio,fp_machine_only,55.5409
human,rpi_sunset_bay,2024_08_12_07_28_09_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2024-08-12T14%3A28%3A09.000Z,"AM radio interference. False positives sometimes seem associated with individual, relatively-isolated, human words.",fp_machine_only,61.7336
